,created_at,fav_count,fol_count,followback,fri_count,id,language,twt_count,tz
0,1281736649.0,3498,181,False,234,178103147,en,22761,Alaska
1,1383205168.0,12,237,False,349,2166192330,en,52928,
2,1295888775.0,49,787,False,1598,242379645,sv,225,Amsterdam
3,1411933759.0,2,30,False,197,2789856832,en,4,Pacific Time (US & Canada)
4,1335585895.0,84,22,False,183,565144900,en,398,
5,1410351739.0,12,4510,False,3915,2801698058,en,82,London
6,1382045862.0,670,178,False,198,719743863,en,1085,Pacific Time (US & Canada)
7,1387047471.0,454,85,False,122,2246015719,en,1709,Pacific Time (US & Canada)
8,1365540660.0,8,145,False,487,1340184788,en,21624,Arizona
9,1319650185.0,800,219,False,516,398874507,en,492,
10,1411798863.0,5,10,True,117,2833634748,en,6,
11,1399975412.0,54,175,True,359,2492721642,sv,106,
12,1222477072.0,544,113,False,282,16478412,en,3587,Pacific Time (US & Canada)
13,1235508617.0,161,31,False,53,21795878,en,2255,Pacific Time (US & Canada)
14,1412965232.0,0,295,False,2000,2821400710,en,386,
15,1375925195.0,283,44403,False,45463,1654243902,en,103,Central Time (US & Canada)
16,1243822229.0,237,25,False,44,43806635,en,204,
17,1240616746.0,1652,95,False,358,35080637,en,1882,Pacific Time (US & Canada)
18,1381242036.0,62,46,False,49,1947048746,en,405,Pacific Time (US & Canada)
19,1238254733.0,33,42,False,92,27248761,en,934,Eastern Time (US & Canada)
20,1258784766.0,1503,157,True,436,91517695,en,12100,Stockholm
21,1365355201.0,60,10,False,165,1334627766,en,2508,
22,1247674134.0,44,99,True,344,57057101,en,1374,Pacific Time (US & Canada)
23,1410709612.0,13,376,False,1999,2770176772,sv,18,
24,1320314545.0,94,32,False,115,404017441,en,1481,Pacific Time (US & Canada)
25,1414530385.0,39,8,True,118,2848824245,en,37,
26,1270681650.0,126,24,False,120,130657881,en,254,Amsterdam
27,1381198016.0,3,123,False,601,1945678117,en,207,
28,1384537813.0,358,1126,False,1973,2182179573,en,694,
29,1329998320.0,6,326,False,1456,500719320,sv,4,
30,1271435285.0,3,19,False,36,133784239,en,60,Central Time (US & Canada)
31,1354482589.0,0,300,False,438,985396465,en,5940,
32,1389086329.0,4,8,False,53,2266614070,en,18,Stockholm
33,1353183153.0,0,368,False,611,954246488,en,5157,
34,1366681464.0,134,65,False,138,1373517990,en,230,Pacific Time (US & Canada)
35,1405481243.0,0,43,True,413,2713758231,en,178,
36,1340498399.0,0,559,False,1776,616611092,en,73,
37,1366844389.0,721,18,False,64,1378179548,en,595,
38,1257493517.0,19,35,False,129,87892015,en,3252,Stockholm
39,1207848737.0,2,3384,False,2463,14353295,en,10421,Bucharest
40,1337205034.0,68,21723,False,21017,582277182,en,2957,Eastern Time (US & Canada)
41,1307506663.0,647,351,False,1991,313096603,en,1989,Pacific Time (US & Canada)
42,1267987063.0,103,195,False,220,120840252,en,1720,
43,1348839000.0,13,20,False,62,851069624,sv,66,
44,1246903292.0,5,17,False,68,54280830,en,56,Pacific Time (US & Canada)
45,1354005986.0,0,499,False,958,973517940,en,0,
46,1278504673.0,9839,388,True,517,163840393,de,18005,Berlin
47,1255971149.0,2070,21768,True,23847,83639708,en,12285,Eastern Time (US & Canada)
48,1393241274.0,0,82,False,89,2359356110,ja,314,
49,1400120891.0,0,1,False,6,2495502296,ja,1196,
50,1391710006.0,0,416,False,627,2330654054,es,47488,
51,1412935606.0,0,132,False,649,2850047898,en,2356,
52,1348881181.0,1944,237,False,260,852019339,en,5083,Pacific Time (US & Canada)
53,1354005999.0,0,234,False,462,973517958,en,0,
54,1354006461.0,0,839,False,1435,973526502,en,115,Arizona
55,1304704619.0,184,407,False,706,294192618,sv,74215,Stockholm
56,1303599703.0,8,386,False,1061,286902044,en,2623,Pacific Time (US & Canada)
57,1349936052.0,16,47,False,215,873097508,en,149,
58,1280341872.0,13,525,False,1992,172017302,en,124,Zagreb
59,1358469267.0,13,181,False,351,1099615236,it,11287,Rome
60,1337140644.0,68,128,False,303,581499436,en,701,New Delhi
61,1300321171.0,1008,35,False,35,267458628,ja,13674,Hawaii
62,1354005982.0,0,541,False,943,973526798,en,0,
63,1384949038.0,0,43,False,71,2204789186,en,280,
64,1354005990.0,0,393,False,916,973527158,en,0,
65,1342617103.0,1578,94,False,180,703035426,ja,9754,Tokyo
66,1264439728.0,0,178,False,760,108347602,en,2559,Arizona
67,1414854114.0,59,48,False,609,2855008521,sv,7,
68,1255386762.0,1059,899,False,918,81945849,en,3699,London
69,1356209320.0,0,411,False,1176,1029249265,en,4619,
70,1414562257.0,0,53,False,862,2881708207,ja,254,
71,1235072072.0,80,1427,False,1983,21330776,en,1377,Stockholm
72,1277120237.0,52,1151,False,1817,157969844,fr,326,Paris
73,1299628422.0,9,135,False,490,262892483,en,576,
74,1274285245.0,0,58,False,57,145680692,en,83,
75,1297473320.0,1,36,False,59,250895235,en,1318,
76,1413948726.0,0,10,False,34,2870069978,en,17,
77,1375567110.0,4242,10494,False,7143,1643762905,en,246,Casablanca
78,1289929123.0,2,169,False,1316,216419660,en,36,
79,1307156769.0,1248,196,False,468,310639321,en,7202,Pacific Time (US & Canada)
80,1315247552.0,7,3,False,33,368487868,en,37,
81,1246322457.0,8,206,False,398,52247035,en,1565,Pacific Time (US & Canada)
82,1340215634.0,4,55971,False,28925,613716090,ar,16749,
83,1387798119.0,309,10187,True,7989,2239696558,ar,952,
84,1413224204.0,61,1526,False,1507,2854697257,ar,2144,
85,1285167997.0,3064,62614,False,57050,193727994,en,4531,Muscat
86,1285645088.0,490,42,False,182,196020789,en,519,Arizona
87,1296074446.0,11,73,False,211,243334896,fr,194,
88,1405729784.0,1,353,False,353,2658209797,en,14836,Eastern Time (US & Canada)
89,1342023166.0,17,129,False,253,633015602,en,463,
90,1411111757.0,0,4,False,38,2775083159,de,1,
91,1351520417.0,22325,730,False,1037,912538652,en,26871,
92,1248648769.0,495,413,False,1438,60417905,en,11608,Pacific Time (US & Canada)
93,1376015432.0,0,2,False,53,1656726715,en,116,
94,1385173252.0,0,1263,False,2001,2209841887,nl,7004,
95,1303881901.0,1284,1464,False,1998,288621281,de,2833,Greenland
96,1415622729.0,2,1,False,48,2870521768,sv,0,
97,1365749733.0,626,667,False,711,1346189353,sv,1217,
98,1409758718.0,14,638,False,507,2788164512,en,151,Pacific Time (US & Canada)
99,1354298132.0,56,83,False,131,980931704,en,724,Pacific Time (US & Canada)
100,1300721416.0,127,15,False,87,269854271,en,198,
101,1391736849.0,323,10,False,67,2331108974,en,227,Arizona
102,1395666644.0,0,324,False,352,2408998999,en,29603,Atlantic Time (Canada)
103,1400112304.0,3044,94,False,423,2495332484,en,3091,
104,1321284886.0,15,241,False,139,412347950,en,202,Ljubljana
105,1300160826.0,2334,285,False,514,266374179,en,10330,Pacific Time (US & Canada)
